Product,Brands,Unit,Image URL
Coca Cola,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Coca+Cola
Pepsi,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Pepsi
Thumbs Up,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Thumbs+Up
Sprite,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Sprite
Fanta,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Fanta
Maaza,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Maaza
Appy Fizz,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Appy+Fizz
Real Fruit Juice,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Real+Fruit+Juice
Slice,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Slice
Paper Boat Drink,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Paper+Boat+Drink
Amul Milk,"Amul, Mother Dairy, Local",packet,https://via.placeholder.com/150?text=Amul+Milk
Mother Dairy Milk,"Amul, Mother Dairy, Local",ml,https://via.placeholder.com/150?text=Mother+Dairy+Milk
Curd,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Curd
Paneer,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Paneer
Butter,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Butter
Cheese Slices,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Cheese+Slices
Amul Butter,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Amul+Butter
Bread (White),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Bread+(White)
Bread (Brown),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Bread+(Brown)
Eggs (Dozen),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Eggs+(Dozen)
Cake Rusk,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Cake+Rusk
Maggie Noodles,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Maggie+Noodles
Top Ramen Noodles,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Top+Ramen+Noodles
Yippee Noodles,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Yippee+Noodles
Oats (Quaker),"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Oats+(Quaker)
Cornflakes (Kellogg’s),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Cornflakes+(Kellogg’s)
MTR Upma Mix,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=MTR+Upma+Mix
MTR Poha Mix,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=MTR+Poha+Mix
Soup Packets,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Soup+Packets
Pasta,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Pasta
Macaroni,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Macaroni
Vermicelli (Sevai),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Vermicelli+(Sevai)
Instant Idli Mix,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Instant+Idli+Mix
Frozen Peas,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Frozen+Peas
Frozen Paratha,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Frozen+Paratha
French Fries Packet,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=French+Fries+Packet
Veg Momos,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Veg+Momos
Chicken Nuggets (frozen),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Chicken+Nuggets+(frozen)
Paneer Tikka Ready Mix,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Paneer+Tikka+Ready+Mix
Colgate Toothpaste,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Colgate+Toothpaste
Pepsodent Toothpaste,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Pepsodent+Toothpaste
Closeup Toothpaste,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Closeup+Toothpaste
Toothbrush,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Toothbrush
Dant Manjan,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Dant+Manjan
Dettol Soap,"Lifebuoy, Lux, Dove, Local",kg,https://via.placeholder.com/150?text=Dettol+Soap
Lifebuoy Soap,"Lifebuoy, Lux, Dove, Local",packet,https://via.placeholder.com/150?text=Lifebuoy+Soap
Lux Soap,"Lifebuoy, Lux, Dove, Local",packet,https://via.placeholder.com/150?text=Lux+Soap
Santoor Soap,"Lifebuoy, Lux, Dove, Local",kg,https://via.placeholder.com/150?text=Santoor+Soap
Dove Soap,"Lifebuoy, Lux, Dove, Local",packet,https://via.placeholder.com/150?text=Dove+Soap
Pears Soap,"Lifebuoy, Lux, Dove, Local",piece,https://via.placeholder.com/150?text=Pears+Soap
Nirma Bathing Soap,"Lifebuoy, Lux, Dove, Local",litre,https://via.placeholder.com/150?text=Nirma+Bathing+Soap
Shampoo Sachets,"Clinic Plus, Sunsilk, Dove",ml,https://via.placeholder.com/150?text=Shampoo+Sachets
Clinic Plus Shampoo,"Clinic Plus, Sunsilk, Dove",piece,https://via.placeholder.com/150?text=Clinic+Plus+Shampoo
Sunsilk Shampoo,"Clinic Plus, Sunsilk, Dove",ml,https://via.placeholder.com/150?text=Sunsilk+Shampoo
Head & Shoulders Shampoo,"Clinic Plus, Sunsilk, Dove",gm,https://via.placeholder.com/150?text=Head+&+Shoulders+Shampoo
Pantene Shampoo,"Clinic Plus, Sunsilk, Dove",litre,https://via.placeholder.com/150?text=Pantene+Shampoo
Meera Hair Oil,"Fortune, Dhara, Local",piece,https://via.placeholder.com/150?text=Meera+Hair+Oil
Parachute Coconut Oil,"Fortune, Dhara, Local",piece,https://via.placeholder.com/150?text=Parachute+Coconut+Oil
Vaseline Petroleum Jelly,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Vaseline+Petroleum+Jelly
Boroline Cream,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Boroline+Cream
Moisturizer (Nivea),"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Moisturizer+(Nivea)
Talcum Powder (Ponds),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Talcum+Powder+(Ponds)
Deodorant (Fogg),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Deodorant+(Fogg)
Perfume (Small Pack),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Perfume+(Small+Pack)
Johnson’s Baby Powder,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Johnson’s+Baby+Powder
Johnson’s Baby Soap,"Lifebuoy, Lux, Dove, Local",litre,https://via.placeholder.com/150?text=Johnson’s+Baby+Soap
Baby Lotion,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Baby+Lotion
Diapers Small Pack,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Diapers+Small+Pack
Baby Wipes Small Pack,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Baby+Wipes+Small+Pack
Cerelac,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Cerelac
Farex,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Farex
Detergent Powder (Surf Excel),"Surf Excel, Tide, Ariel",litre,https://via.placeholder.com/150?text=Detergent+Powder+(Surf+Excel)
Ariel Powder,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Ariel+Powder
Nirma Washing Powder,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Nirma+Washing+Powder
Tide Powder,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Tide+Powder
Wheel Powder,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Wheel+Powder
Rin Bar,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Rin+Bar
Surf Excel Bar,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Surf+Excel+Bar
Harpic Toilet Cleaner,"Fortune, Dhara, Local",packet,https://via.placeholder.com/150?text=Harpic+Toilet+Cleaner
Lizol Floor Cleaner,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Lizol+Floor+Cleaner
Phenyl Bottle,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Phenyl+Bottle
Colin Spray,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Colin+Spray
Vim Dishwash Bar,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Vim+Dishwash+Bar
Vim Liquid Dishwash,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Vim+Liquid+Dishwash
Dettol Liquid,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Dettol+Liquid
Handwash (Lifebuoy),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Handwash+(Lifebuoy)
Sanitizer Bottle,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Sanitizer+Bottle
Matchbox,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Matchbox
Candles,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Candles
Mosquito Coil,"Fortune, Dhara, Local",litre,https://via.placeholder.com/150?text=Mosquito+Coil
Good Knight Liquid,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Good+Knight+Liquid
All Out,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=All+Out
Ball Pen (Pack of 10),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Ball+Pen+(Pack+of+10)
Pencil Box,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Pencil+Box
Sharpener,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Sharpener
Eraser,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Eraser
Notebook (Small),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Notebook+(Small)
Notebook (Large),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Notebook+(Large)
Register Book,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Register+Book
Glue Stick,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Glue+Stick
Whitener,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Whitener
Small Envelopes,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Small+Envelopes
Stapler,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Stapler
Pins Packet,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Pins+Packet
Candle Box,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Candle+Box
Almonds (100g),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Almonds+(100g)
Cashews (100g),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Cashews+(100g)
Raisins (100g),"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Raisins+(100g)
Groundnuts,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Groundnuts
Pistachios (100g),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Pistachios+(100g)
Dates (Khajoor),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Dates+(Khajoor)
Fox Nuts (Makhana),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Fox+Nuts+(Makhana)
Coconut Dry,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Coconut+Dry
Bisleri Water Bottle 1L,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Bisleri+Water+Bottle+1L
Aquafina Water Bottle 1L,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Aquafina+Water+Bottle+1L
Kinley Water Bottle 1L,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Kinley+Water+Bottle+1L
Small Water Pouch,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Small+Water+Pouch
Energy Drink (Red Bull),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Energy+Drink+(Red+Bull)
Electral ORS,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Electral+ORS
Papad Pack,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Papad+Pack
Pickle (Mango),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Pickle+(Mango)
Pickle (Mixed),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Pickle+(Mixed)
Sauce (Tomato),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Sauce+(Tomato)
Soy Sauce,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Soy+Sauce
Vinegar,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Vinegar
Chilli Sauce,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Chilli+Sauce
Jam (Mixed Fruit),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Jam+(Mixed+Fruit)
Honey Bottle,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Honey+Bottle
Peanut Butter,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Peanut+Butter
Ice Cream Cup (Kwality Walls),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Ice+Cream+Cup+(Kwality+Walls)
Kulfi Stick,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Kulfi+Stick
Matta Rice,"India Gate, Daawat, Local",kg,https://via.placeholder.com/150?text=Matta+Rice
Brown Rice,"India Gate, Daawat, Local",litre,https://via.placeholder.com/150?text=Brown+Rice
Broken Rice,"India Gate, Daawat, Local",gm,https://via.placeholder.com/150?text=Broken+Rice
Idli Rice,"India Gate, Daawat, Local",litre,https://via.placeholder.com/150?text=Idli+Rice
Barley,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Barley
Ragi Flour,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Ragi+Flour
Jowar Flour,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Jowar+Flour
Bajra Flour,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Bajra+Flour
Horse Gram,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Horse+Gram
Masoor Whole,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Masoor+Whole
Kala Chana,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Kala+Chana
Soya Chunks,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Soya+Chunks
Sprouted Moong,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Sprouted+Moong
Rice Bran Oil,"India Gate, Daawat, Local",piece,https://via.placeholder.com/150?text=Rice+Bran+Oil
Sunflower Oil Small Pack,"Fortune, Dhara, Local",ml,https://via.placeholder.com/150?text=Sunflower+Oil+Small+Pack
Til Oil (Sesame),"Fortune, Dhara, Local",litre,https://via.placeholder.com/150?text=Til+Oil+(Sesame)
Flaxseed Oil,"Fortune, Dhara, Local",litre,https://via.placeholder.com/150?text=Flaxseed+Oil
Amul Pure Ghee,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Amul+Pure+Ghee
Hing (Asafoetida),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Hing+(Asafoetida)
Ajwain,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Ajwain
Fennel Seeds (Saunf),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Fennel+Seeds+(Saunf)
Dry Ginger Powder,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Dry+Ginger+Powder
Nutmeg,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Nutmeg
Star Anise,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Star+Anise
White Pepper,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=White+Pepper
Black Cardamom,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Black+Cardamom
Mace (Javitri),"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Mace+(Javitri)
Rock Salt,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Rock+Salt
Chole Masala,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Chole+Masala
Pav Bhaji Masala,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Pav+Bhaji+Masala
Tea Masala,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Tea+Masala
Chicken Masala,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Chicken+Masala
Fish Curry Masala,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Fish+Curry+Masala
Parle Krackjack,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Parle+Krackjack
Perk Chocolate,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Perk+Chocolate
Kitkat,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Kitkat
5 Star,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=5+Star
Munch,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Munch
Dairy Milk,"Amul, Mother Dairy, Local",kg,https://via.placeholder.com/150?text=Dairy+Milk
Milky Bar,"Amul, Mother Dairy, Local",kg,https://via.placeholder.com/150?text=Milky+Bar
Center Fresh,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Center+Fresh
Alpenliebe,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Alpenliebe
Pulse Candy,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Pulse+Candy
Eclairs,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Eclairs
Hajmola,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Hajmola
Poppins,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Poppins
Lotte Choco Pie,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Lotte+Choco+Pie
Haldiram Aloo Bhujia,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Haldiram+Aloo+Bhujia
Bhujia Sev,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Bhujia+Sev
Navratan Mixture,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Navratan+Mixture
Moong Dal Namkeen,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Moong+Dal+Namkeen
Salted Peanuts,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Salted+Peanuts
Nimbooz,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Nimbooz
Mountain Dew,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Mountain+Dew
Sting Energy Drink,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Sting+Energy+Drink
Glucon-D,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Glucon-D
Tang Orange Drink,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Tang+Orange+Drink
ORS Powder Pack,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=ORS+Powder+Pack
Tender Coconut Water (Pack),"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Tender+Coconut+Water+(Pack)
Flavored Milk (Amul Kool),"Amul, Mother Dairy, Local",gm,https://via.placeholder.com/150?text=Flavored+Milk+(Amul+Kool)
Yakult Probiotic,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Yakult+Probiotic
Paneer Cubes,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Paneer+Cubes
Cheddar Cheese,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Cheddar+Cheese
Cheese Spread,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Cheese+Spread
Whipped Cream,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Whipped+Cream
Fresh Cream,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Fresh+Cream
Ghee Tetra Pack,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Ghee+Tetra+Pack
Rusk,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Rusk
Buns,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Buns
Pav Bread,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Pav+Bread
Brownie Pack,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Brownie+Pack
Cup Cake Pack,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Cup+Cake+Pack
Knorr Noodles,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Knorr+Noodles
Maggi Masala-e-Magic,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Maggi+Masala-e-Magic
Soup Sachet,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Soup+Sachet
Upma Ready Mix,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Upma+Ready+Mix
Idli Ready Mix,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Idli+Ready+Mix
Vada Ready Mix,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Vada+Ready+Mix
Dhokla Mix,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Dhokla+Mix
Gits Gulab Jamun Mix,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Gits+Gulab+Jamun+Mix
Gits Khaman Mix,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Gits+Khaman+Mix
Frozen Chapati,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Frozen+Chapati
Frozen Idli,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Frozen+Idli
Frozen Dosa Batter,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Frozen+Dosa+Batter
Frozen Cutlet,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Frozen+Cutlet
